# Rime user dictionary
#@/db_name	pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	32367
#@/user_id	Mac
a 	啊	c=393 d=1.26882 t=31923
ni dong ma 	你懂吗	c=1 d=1 t=25727
ni dong wo de 	你懂我的	c=1 d=1 t=26461
ni dou 	你都	c=6 d=1 t=28714
ni dui 	你对	c=1 d=1 t=28012
ni dui shui 	你对谁	c=1 d=1 t=26944
ni er zi 	你儿子	c=4 d=1 t=28958
ni fa zhe ge 	你发这个	c=1 d=1 t=22221
ni gan cui 	你干脆	c=2 d=1 t=21048
ni gao 	你搞	c=3 d=2.86537 t=4609
ni gao su 	你告诉	c=3 d=1 t=26149
ni gao su wo 	你告诉我	c=4 d=1 t=26126
ni ge 	你个	c=3 d=1 t=28986
ni ge ren 	你个人	c=1 d=1 t=18182
ni gei bu gei wo 	你给不给我	c=1 d=1 t=31053
ni gei wo 	你给我	c=3 d=1 t=31331
ni gen 	你跟	c=2 d=1 t=4882
ni gen ta 	你跟他	c=1 d=1 t=16818
ni gen wo 	你跟我	c=1 d=1 t=1785
ni gu ji 	你估计	c=1 d=1 t=21189
ni hai 	你还	c=13 d=1.1923 t=27756
ni hai bu ru 	你还不如	c=2 d=1 t=26336
ni hai bu shi 	你还不是	c=1 d=1 t=7740
ni hai hui 	你还会	c=3 d=1.86936 t=19833
ni hai mei 	你还没	c=1 d=1 t=6294
ni hai neng 	你还能	c=2 d=1 t=20330
ni hai shi 	你还是	c=8 d=1 t=29989
ni hai xiang 	你还想	c=1 d=1 t=27046
ni hai xiang zhe 	你还想着	c=1 d=1 t=11546
ni hai you 	你还有	c=1 d=1 t=20807
ni hai zhen de 	你还真的	c=1 d=1 t=7731
ni hao 	你好	c=2 d=1 t=29643
ni he bi 	你何必	c=1 d=1 t=25603
ni huan le 	你换了	c=1 d=1 t=13590
ni hui 	你会	c=7 d=1.00915 t=23521
ni hui jue de 	你会觉得	c=2 d=1 t=21978
ni hui lai 	你回来	c=3 d=1.06856 t=29016
ni huo xu hui 	你或许会	c=1 d=1 t=1609
ni jia 	你家	c=1 d=1 t=21021
ni jia li 	你家里	c=2 d=0.1 t=20585
ni jia li ren 	你家里人	c=1 d=1 t=20586
ni jia ren 	你家人	c=5 d=1.00002 t=22830
ni jia zu 	你家族	c=1 d=1 t=14975
ni jian guo 	你见过	c=2 d=1 t=29852
ni jie 	你借	c=1 d=1 t=32249
ni jin kuai 	你尽快	c=1 d=1 t=11617
ni jing ran 	你竟然	c=2 d=1 t=23176
ni jiu 	你就	c=26 d=1.59452 t=30464
ni jiu hui 	你就会	c=1 d=1 t=1603
ni jiu neng 	你就能	c=2 d=1.00014 t=7717
ni jiu qu 	你就去	c=1 d=1 t=16765
ni jiu shi 	你就是	c=2 d=1 t=11606
ni jiu suan 	你就算	c=1 d=1 t=5444
ni jue de 	你觉得	c=10 d=1.00073 t=31980
ni jue dui 	你绝对	c=2 d=1 t=32305
ni kai xin 	你开心	c=1 d=1.06561 t=1575
ni kai xin le 	你开心了	c=1 d=1 t=1576
ni kan 	你看	c=10 d=0.1 t=30471
ni kan kan 	你看看	c=8 d=1.00641 t=28770
ni kan wo 	你看我	c=1 d=1 t=30472
ni kan xia 	你看下	c=2 d=1 t=29615
ni kao 	你靠	c=1 d=1 t=271
ni ke 	你可	c=3 d=0.969358 t=17440
ni ke bu yao 	你可不要	c=1 d=1 t=17441
ni ke lian 	你可怜	c=1 d=1 t=22176
ni ke neng 	你可能	c=6 d=1 t=28297
ni ke neng shi 	你可能是	c=1 d=1 t=21847
ni ke yi 	你可以	c=12 d=1.48709 t=27392
ni ke yi jue de 	你可以觉得	c=1 d=1 t=8790
ni ke yi shuo 	你可以说	c=1 d=1 t=25141
ni ke yi zuo 	你可以做	c=1 d=1 t=23190
ni ke zhi dao 	你可知道	c=6 d=1 t=31684
ni ken ding 	你肯定	c=2 d=1 t=14821
ni la 	你啦	c=1 d=1 t=21371
ni lao po 	你老婆	c=3 d=1 t=29796
ni le 	你了	c=4 d=0.100001 t=20324
ni le ma 	你了吗	c=1 d=1 t=20325
ni ma 	你妈	c=6 d=1.32434 t=29895
ni mai 	你买	c=1 d=1 t=12642
ni mei 	你没	c=5 d=1 t=19830
ni mei dian 	你没点	c=2 d=1.00705 t=12553
ni mei qian 	你没钱	c=1 d=1 t=5852
ni mei ting guo 	你没听过	c=1 d=1 t=1460
ni men 	你们	c=132 d=3.26278 t=32355
ni men jia 	你们家	c=1 d=1 t=20985
ni men shi 	你们是	c=2 d=1 t=13474
ni ming 	你命	c=1 d=1 t=368
ni ming 	匿名	c=1 d=1 t=4552
ni na 	你那	c=3 d=1.00015 t=13608
ni na shi 	你那是	c=1 d=1 t=11987
ni nan dao 	你难道	c=2 d=1.00001 t=13951
ni neng 	你能	c=13 d=1 t=28074
ni neng bu neng 	你能不能	c=2 d=1 t=26817
ni neng gou 	你能够	c=1 d=1 t=267
ni qiong 	你穷	c=1 d=0.1 t=22735
ni qiong yang 	你穷养	c=1 d=1 t=22736
ni qu 	你去	c=1 d=1 t=23233
ni que ding 	你确定	c=5 d=2.95084 t=31668
ni rang 	你让	c=15 d=1 t=29162
ni rang wo 	你让我	c=9 d=1 t=31393
ni ru ci 	你如此	c=1 d=1 t=10922
ni ru guo 	你如果	c=6 d=1.36059 t=23241
ni ru guo ke yi 	你如果可以	c=1 d=1 t=2706
ni ru he 	你如何	c=1 d=1 t=5966
ni shen bian de ren 	你身边的人	c=1 d=1 t=9361
ni shen me 	你什么	c=2 d=1 t=30405
ni shi 	你是	c=25 d=1.00184 t=28657
ni shi bu shi 	你是不是	c=4 d=1 t=26712
ni shi fou 	你是否	c=1 d=1 t=13504
ni shou xian 	你首先	c=1 d=1 t=5608
ni shuo 	你说	c=26 d=1.41272 t=30506
ni shuo de 	你说的	c=1 d=1 t=6516
ni shuo shuo 	你说说	c=1 d=1 t=10346
ni si wo huo 	你死我活	c=1 d=1 t=17224
ni suan shi 	你算是	c=1 d=1 t=5693
ni sui bian 	你随便	c=2 d=1 t=20019
ni suo you de 	你所有的	c=1 d=1 t=29315
ni tai 	你太	c=2 d=1 t=10561
ni ti 	你替	c=1 d=1 t=29068
ni tian 	逆天	c=2 d=1 t=17033
ni tian tian 	你天天	c=3 d=1 t=13329
ni tu ran 	你突然	c=1 d=1 t=18810
ni wan shang 	你晚上	c=2 d=1 t=29735
ni wei shen me 	你为什么	c=3 d=1.01026 t=9565
ni wen wen 	你问问	c=4 d=1.00005 t=20554
ni wen wo 	你问我	c=1 d=1 t=30571
ni wu fei shi 	你无非是	c=1 d=1 t=2097
ni xi huan 	你喜欢	c=1 d=1 t=8256
ni xian zai 	你现在	c=1 d=1 t=3216
ni xiang 	你想	c=17 d=1 t=31063
ni xiang xiang 	你想想	c=5 d=1.16665 t=27779
ni xiang xin 	你相信	c=1 d=1 t=4140
ni xiang zuo 	你想做	c=1 d=1 t=1597
ni xin 	你信	c=2 d=1.95123 t=20726
ni xing xing 	你醒醒	c=1 d=1 t=27048
ni xu yao 	你需要	c=4 d=1 t=28265
ni xuan ze le 	你选择了	c=1 d=1 t=5509
ni yang bu yang de 	你养不养的	c=1 d=1 t=29704
ni yao 	你要	c=24 d=1.00053 t=31381
ni yao bu 	你要不	c=3 d=1.00756 t=26399
ni yao bu yao 	你要不要	c=1 d=1 t=19400
ni yao me 	你要么	c=1 d=1 t=8738
ni yao shi 	你要是	c=11 d=1 t=30461
ni yao shuo 	你要说	c=1 d=1 t=21823
ni yao zai 	你要在	c=1 d=1 t=16250
ni yao zuo 	你要作	c=1 d=1 t=9715
ni ye 	你也	c=8 d=0.446909 t=23171
ni ye bu ke neng 	你也不可能	c=1 d=1 t=4722
ni ye bu yong 	你也不用	c=1 d=1 t=1613
ni ye hui 	你也会	c=1 d=1 t=5446
ni ye ke yi 	你也可以	c=1 d=1 t=2708
ni ye shi 	你也是	c=1 d=1 t=23172
ni ye yao 	你也要	c=1 d=1 t=5547
ni ye zuo le 	你也做了	c=1 d=1 t=2178
ni yi ding 	你一定	c=1 d=1 t=6654
ni yi qian 	你以前	c=2 d=1 t=24023
ni yi wei 	你以为	c=8 d=1.01105 t=31321
ni yi zhi 	你一直	c=1 d=1 t=5536
ni ying gai 	你应该	c=3 d=1.66034 t=10958
ni yong yuan 	你永远	c=5 d=1.00001 t=25577
ni you 	你又	c=3 d=1 t=19544
ni you 	你有	c=3 d=1.00004 t=7570
ni you dian 	你有点	c=1 d=1 t=5944
ni you kong 	你有空	c=1 d=1 t=11153
ni you mei you 	你有没有	c=2 d=1 t=18948
ni you xiang 	你邮箱	c=1 d=1 t=22706
ni za bu 	你咋不	c=1 d=1 t=19512
ni zai 	你在	c=6 d=1 t=29788
ni zai bu 	你在不	c=1 d=1 t=18989
ni zen me 	你怎么	c=4 d=1.00119 t=23528
ni zhao 	你找	c=2 d=1.00032 t=32333
ni zhao ge 	你找个	c=1 d=1 t=22613
ni zhao ge ren 	你找个人	c=1 d=1 t=5978
ni zhao guo wai 	你找国外	c=1 d=1 t=32334
ni zhao ni ma 	你找你妈	c=1 d=1 t=18964
ni zhao wo 	你找我	c=2 d=1 t=22414
ni zhao zhao 	你找找	c=1 d=1 t=11270
ni zhe 	你这	c=40 d=1.14378 t=30316
ni zhe bu shi 	你这不是	c=2 d=1.00001 t=8710
ni zhe ge 	你这个	c=1 d=1 t=6972
ni zhe liang nian 	你这两年	c=1 d=1 t=16473
ni zhe me 	你这么	c=3 d=1 t=13826
ni zhe ren 	你这人	c=1 d=1 t=11541
ni zhe shi 	你这是	c=23 d=1.00124 t=29941
ni zhe tao 	你这套	c=1 d=1 t=13713
ni zhe xie 	你这些	c=1 d=1 t=27442
ni zhe xie ren 	你这些人	c=1 d=1 t=22302
ni zhe yang 	你这样	c=1 d=1 t=6366
ni zhe yao 	你这要	c=1 d=1 t=5015
ni zhe yi sheng 	你这一生	c=1 d=1 t=20310
ni zhen de 	你真的	c=3 d=1 t=23282
ni zhi dao 	你知道	c=12 d=1.00001 t=28828
ni zhi shi 	你只是	c=3 d=1 t=29832
ni zhi xu yao 	你只需要	c=1 d=1 t=1867
ni zhi yao 	你只要	c=1 d=1 t=5824
ni zhuan 	你转	c=2 d=1 t=32271
ni zi ji 	你自己	c=5 d=0.777057 t=22863
ni zi ran 	你自然	c=2 d=1 t=11835
ni zong hui 	你总会	c=1 d=1 t=15580
ni zong yao 	你总要	c=1 d=1 t=8745
ni zui 	你最	c=0 d=0.1 t=8769
ni zui da de 	你最大的	c=1 d=1 t=22999
ni zui duo 	你最多	c=1 d=1 t=7683
ni zui hao 	你最好	c=1 d=1 t=15558
ni zui zhong yao 	你最重要	c=1 d=1 t=8770
nian 	年	c=9 d=1.00002 t=31415
nian dai 	年代	c=4 d=1.96094 t=29204
nian dai de 	年代的	c=1 d=1 t=9370
nian dai le 	年代了	c=3 d=1.00066 t=31536
nian dao 	念叨	c=1 d=1 t=25303
nian fu 	年付	c=1 d=1 t=17546
nian ji 	年纪	c=7 d=1 t=31214
nian ling 	年龄	c=3 d=1 t=23145
nian qing 	年轻	c=3 d=1 t=24946
nian qing de 	年轻的	c=1 d=1 t=21712
nian qing de shi hou 	年轻的时候	c=1 d=1 t=9710
nian qing ren 	年轻人	c=3 d=1 t=18621
nian tou 	年头	c=2 d=1.32956 t=28759
niao 	鸟	c=1 d=1 t=28970
niao pin 	尿频	c=1 d=1 t=28168
nie 	孽	c=1 d=1 t=19198
ning yuan 	宁愿	c=5 d=1.01545 t=31943
niu bi 	牛逼	c=4 d=1 t=31366
niu nai 	牛奶	c=1 d=1 t=19354
niu qu 	扭曲	c=2 d=1.97531 t=13473
nong 	弄	c=1 d=1 t=28582
nong 	浓	c=1 d=1 t=21024
nong cun 	农村	c=1 d=1 t=29761
nong fu 	农夫	c=1 d=0.744532 t=32367
nong ge 	弄个	c=1 d=1 t=29986
nong kua 	弄垮	c=1 d=1 t=19923
nong min 	农民	c=1 d=1 t=17393
nong qian 	弄钱	c=1 d=1 t=30940
nong si 	弄死	c=2 d=1 t=27240
nu huo 	怒火	c=1 d=0.1 t=19734
nu huo le 	怒火了	c=1 d=1 t=19735
nu li 	努力	c=21 d=1.98569 t=29319
nu li dao 	努力到	c=1 d=1 t=10688
nu li de 	努力的	c=1 d=1 t=5732
nu li le 	努力了	c=1 d=1 t=5664
nue 	虐	c=1 d=1 t=26806
nue dai 	虐待	c=1 d=1 t=27175
nue dao 	虐到	c=1 d=1 t=18480
nuo ruo 	懦弱	c=1 d=1 t=21861
nv 	女	c=3 d=1.00018 t=17482
nv er 	女儿	c=1 d=1 t=20308
nv hai 	女孩	c=1 d=1 t=14277
nv hai zi 	女孩子	c=17 d=1.19398 t=31557
nv hai zi le 	女孩子了	c=2 d=1 t=14299
nv ren 	女人	c=2 d=1 t=31989
nv sheng 	女生	c=6 d=1 t=31872
nv xing 	女性	c=1 d=1 t=15759
o 	哦	c=4 d=1.00001 t=29676
ou er 	偶尔	c=1 d=1 t=11019
ou mei 	欧美	c=1 d=1 t=11410
ou xiang 	偶像	c=1 d=1 t=18395
ou yuan 	欧元	c=1 d=1 t=29872
ou zhou 	欧洲	c=1 d=1 t=28879
pa 	怕	c=5 d=1 t=31688
pa 	爬	c=10 d=1 t=23021
pa chu lai 	爬出来	c=2 d=1.00274 t=17281
pa qi lai 	爬起来	c=3 d=1 t=30716
pa shang 	爬上	c=1 d=1 t=30104
pa ta 	怕他	c=1 d=1 t=24014
pai 	拍	c=2 d=1.98511 t=29630
pai 	排	c=1 d=1 t=23944
pai chi 	排斥	c=5 d=1 t=25284
pai chu suo 	派出所	c=0 d=0.1 t=6989
pai chu suo de 	派出所的	c=1 d=1 t=6990
pai wai 	排外	c=1 d=1 t=16538
pai zai 	排在	c=1 d=1 t=13654
pan 	判	c=1 d=1 t=17249
pan 	盘	c=2 d=1 t=29412
pan bian 	叛变	c=0 d=0.1 t=2053
pan bian wo 	叛变我	c=1 d=1 t=2054
pan jue shu 	判决书	c=5 d=1 t=27265
pan tou 	盼头	c=1 d=1 t=28016
pan tou le 	盼头了	c=1 d=1 t=15887
pang 	胖	c=1 d=1.09656 t=28607
pang bian 	旁边	c=1 d=1 t=5331
pang da 	庞大	c=1 d=1 t=2165
pang du du 	胖嘟嘟	c=1 d=1 t=28601
pang zi 	胖子	c=2 d=1.96561 t=23880
pao 	跑	c=9 d=1 t=28199
pao bu diao 	跑不掉	c=1 d=1 t=2556
pao de 	跑得	c=2 d=1.03491 t=16413
pao le 	跑了	c=4 d=1 t=24015
pao lu 	跑路	c=1 d=1 t=4900
pao mian 	泡面	c=1 d=1 t=12643
pao qi 	抛弃	c=2 d=1 t=20453
pao qu 	跑去	c=1 d=1 t=10234
pei 	赔	c=1 d=1 t=5190
pei 	配	c=0 d=0.1 t=13094
pei 	陪	c=5 d=1.99005 t=23376
pei ban 	陪伴	c=1 d=1 t=11557
pei bu shang 	配不上	c=1 d=1 t=17848
pei chang 	赔偿	c=3 d=1 t=27402
pei de shang 	配得上	c=1 d=1 t=13095
pei shui 	陪谁	c=1 d=1 t=25574
pei yang 	培养	c=8 d=1.00013 t=20217
pei yang ge 	培养个	c=1 d=1 t=2246
pei zang 	陪葬	c=1 d=1 t=12867
pei zhi 	配置	c=1 d=1 t=7109
peng you 	朋友	c=15 d=1.00003 t=27560
peng you a 	朋友啊	c=1 d=1 t=1078
peng you duo 	朋友多	c=1 d=1 t=4416
pi 	匹	c=1 d=1 t=7152
pi 	皮	c=0 d=0.1 t=15732
pi bei 	疲惫	c=4 d=1.09802 t=22267
pi fu 	匹夫	c=1 d=1 t=26596
pi jiu 	啤酒	c=1 d=0.873716 t=32367
pi lao 	疲劳	c=1 d=1 t=31380
pi qi 	脾气	c=2 d=1 t=14400
pian 	偏	c=3 d=2.9361 t=4366
pian 	骗	c=5 d=1.40052 t=30600
pian bu guo qu 	骗不过去	c=1 d=1 t=21833
pian pian 	偏偏	c=1 d=1 t=16062
pian pian 	骗骗	c=1 d=1 t=13413
pian ren 	骗人	c=2 d=0.1 t=6771
pian ren jia 	骗人家	c=1 d=1 t=6772
pian yi 	便宜	c=2 d=0.1 t=31806
piao 	嫖	c=2 d=1 t=27429
piao 	飘	c=4 d=1 t=25784
piao liang 	漂亮	c=1 d=0.1 t=14206
piao piao 	飘飘	c=0 d=0.1 t=8540
piao piao liang liang 	飘飘亮亮	c=1 d=1 t=8541
pin 	拼	c=2 d=1.0802 t=11331
pin bo 	拼搏	c=2 d=1 t=17245
pin bu guo 	拼不过	c=1 d=1 t=11332
pin fu cha ju 	贫富差距	c=1 d=1 t=16574
pin le 	拼了	c=1 d=1 t=21563
pin le ming 	拼了命	c=2 d=1.00674 t=17277
pin qiong 	贫穷	c=4 d=0.1 t=25638
pin qiong de 	贫穷的	c=1 d=1 t=25639
pin si 	拼死	c=1 d=1 t=13004
pin yin 	拼音	c=1 d=0.995012 t=32367
ping 	平	c=2 d=1 t=21976
ping 	瓶	c=1 d=1 t=18928
ping chang 	平常	c=1 d=1 t=25992
ping deng 	平等	c=0 d=0.1 t=4247
ping fan 	平凡	c=1 d=1 t=17908
ping gu 	评估	c=0 d=0.1 t=396
ping guo 	苹果	c=1 d=1 t=25407
ping heng 	平衡	c=2 d=1.0802 t=11252
ping heng dian 	平衡点	c=1 d=1 t=11219
ping heng le 	平衡了	c=1 d=1 t=11253
ping jia 	评价	c=1 d=1 t=14779
ping jing 	平静	c=1 d=1 t=27160
ping jing le 	平静了	c=1 d=1 t=1294
ping ping 	平平	c=0 d=0.1 t=25625
ping ping dan dan 	平平淡淡	c=2 d=1.67368 t=16042
ping ping jing jing 	平平静静	c=1 d=1 t=25626
ping shen me 	凭什么	c=4 d=1 t=31991
ping wo 	凭我	c=1 d=1 t=9269
ping yuan 	平原	c=1 d=0.718924 t=32367
po 	破	c=4 d=0.100003 t=28220
po 	迫	c=1 d=1 t=8963
po cai 	破财	c=0 d=0.1 t=27482
po cai xiao zai 	破财消灾	c=1 d=1 t=27483
po chan 	破产	c=1 d=1 t=31308
po di fang 	破地方	c=4 d=1.19205 t=30081
po dian nao 	破电脑	c=1 d=1 t=1774
po fu 	泼妇	c=2 d=1.00001 t=4166
po guan zi po shuai 	破罐子破摔	c=1 d=1 t=26144
po hai 	迫害	c=4 d=1 t=29946
po hai wo 	迫害我	c=1 d=1 t=1214
po li 	魄力	c=1 d=1 t=17193
po lie 	破裂	c=1 d=1 t=409
po rang ni 	破让你	c=1 d=1 t=28221
po shi 	破事	c=1 d=1 t=22601
po shuai 	破摔	c=1 d=0.1 t=26143
po wang 	破网	c=1 d=1 t=11263
po yi 	破译	c=1 d=1 t=5089
pu 	莆	c=1 d=1 t=26868
pu dian 	铺垫	c=1 d=1 t=529
pu lu 	铺路	c=1 d=1 t=7835
pu shang 	铺上	c=1 d=1 t=29501
pu tian 	莆田	c=9 d=1.00004 t=31347
pu tian ren 	莆田人	c=15 d=1.00482 t=31280
pu tian ren le 	莆田人了	c=1 d=1 t=2329
pu tian xi 	莆田系	c=1 d=1 t=1375
pu tong 	普通	c=1 d=1 t=10567
pu tong de 	普通的	c=4 d=1 t=26183
pu tong ren 	普通人	c=12 d=1.04954 t=31357
qi 	七	c=1 d=1 t=32144
qi 	其	c=2 d=1 t=14898
qi 	妻	c=41 d=1 t=19370
qi 	弃	c=2 d=1 t=26036
qi 	气	c=6 d=1 t=31975
qi 	起	c=12 d=1 t=29705
qi 	齐	c=1 d=1 t=12047
qi bu lai 	起不来	c=2 d=1 t=26639
qi che 	汽车	c=1 d=1 t=5188
qi chu 	气出	c=1 d=1 t=15993
qi chuang 	起床	c=2 d=1.81465 t=28570
qi chuang le 	起床了	c=1 d=1 t=5172
qi ci 	其次	c=1 d=1 t=4678
qi de 	气得	c=1 d=1 t=16098
qi dian 	起点	c=1 d=1 t=7721
qi dong 	启动	c=2 d=1 t=28725
qi fu 	欺负	c=7 d=1.03979 t=27551
qi fu wo 	欺负我	c=3 d=1 t=15519
qi guai 	奇怪	c=2 d=1 t=28639
qi ji 	奇迹	c=2 d=1.45612 t=16483
qi jia 	起家	c=1 d=1 t=19102
qi jian 	期间	c=1 d=1 t=22653
qi lai 	起来	c=6 d=1.00202 t=30387
qi ma 	起码	c=19 d=1 t=31951
qi miao 	奇妙	c=1 d=1 t=25273
qi pian 	欺骗	c=1 d=1 t=6019
qi ru 	其辱	c=1 d=1 t=13842
qi shi 	七十	c=1 d=1 t=29194
qi shi 	其实	c=60 d=1.70116 t=32057
qi si 	气死	c=2 d=1 t=23161
qi su 	起诉	c=1 d=1 t=6916
qi ta 	其他	c=23 d=1.00007 t=32052
qi ta de 	其他的	c=5 d=1 t=25524
qi ta ren 	其他人	c=8 d=1.01172 t=31950
qi tan 	奇谭	c=1 d=1 t=12048
qi ye 	企业	c=1 d=1 t=1896
qi ye jia 	企业家	c=2 d=1.9802 t=27562
qi yun 	气运	c=1 d=1 t=16353
qi zi 	棋子	c=2 d=1 t=8143
qian 	前	c=2 d=1 t=18701
qian 	千	c=1 d=1 t=19663
qian 	欠	c=8 d=1 t=29140
qian 	牵	c=1 d=1 t=1071
qian 	签	c=1 d=1 t=4251
qian 	钱	c=96 d=2.81357 t=32296
qian ban 	前半	c=0 d=0.1 t=22964
qian ban 	牵绊	c=2 d=1 t=31220
qian ban sheng 	前半生	c=2 d=1 t=27173
qian che 	牵扯	c=4 d=1 t=30629
qian de 	钱的	c=1 d=1 t=29082
qian duan 	前端	c=1 d=1 t=7103
qian gui ze 	潜规则	c=1 d=1 t=30357
qian ji nian 	前几年	c=1 d=1 t=7026
qian ji tian 	前几天	c=2 d=1 t=19044
qian jiao 	前脚	c=2 d=1 t=27233
qian jing 	前景	c=1 d=1 t=17438
qian jiu 	迁就	c=2 d=1 t=31880
qian le 	钱了	c=1 d=1 t=23470
qian mian 	前面	c=1 d=1 t=13657
qian mian de 	前面的	c=1 d=1 t=4619
qian ti 	前提	c=2 d=1 t=15736
qian wo 	欠我	c=1 d=1 t=11470
qian wu gu ren 	前无古人	c=1 d=1 t=7890
qian xin 	欠薪	c=1 d=1 t=12550
qiang 	强	c=16 d=1 t=32128
qiang 	抢	c=10 d=2.82775 t=31316
qiang da 	强大	c=0 d=0.1 t=614
qiang da de 	强大的	c=2 d=1 t=11895
qiang de 	强的	c=2 d=1.00053 t=19634
qiang jian 	强健	c=1 d=1 t=24877
qiang jian 	强奸	c=1 d=1.09608 t=24690
qiang jie 	抢劫	c=1 d=1 t=626
qiang le 	抢了	c=2 d=1.91393 t=30042
qiang po 	强迫	c=4 d=1.5599 t=24659
qiang po 	抢破	c=1 d=1 t=27767
qiang qiu 	强求	c=2 d=1.94176 t=11687
qiang qiu bu lai 	强求不来	c=1 d=1 t=6085
qiang shi 	强势	c=1 d=1 t=2456
qiang xing 	强行	c=1 d=1 t=25807
qie 	切	c=1 d=1 t=25060
qin 	亲	c=3 d=1 t=21513
qin jin 	亲近	c=3 d=1.07629 t=15542
qin kuai 	勤快	c=1 d=1 t=10533
qin qi 	亲戚	c=2 d=1 t=17708
qin shou 	亲手	c=2 d=1.00035 t=30444
qing 	情	c=6 d=1 t=32310
qing 	清	c=2 d=1 t=29926
qing 	请	c=4 d=1 t=30348
qing 	轻	c=4 d=1.75201 t=17538
qing bao 	情报	c=1 d=1 t=3139
qing chu 	清楚	c=4 d=1 t=30960
qing chun 	青春	c=4 d=1.19929 t=18832
qing fu 	情妇	c=1 d=1 t=27783
qing gao 	清高	c=2 d=1.98511 t=2829
qing guan 	清官	c=1 d=1 t=30169
qing jia 	请加	c=1 d=1 t=15202
qing ke 	请客	c=1 d=1 t=29697
qing kuang 	情况	c=5 d=0.100002 t=22047
qing kuang de 	情况的	c=1 d=1 t=14923
qing kuang xia 	情况下	c=1 d=1 t=22048
qing ling 	清零	c=2 d=1.98511 t=27047
qing niao 	青鸟	c=1 d=1 t=11395
qing qiu 	请求	c=1 d=1 t=25912
qing qu 	情趣	c=1 d=1 t=10199
qing shi 	情势	c=0 d=0.1 t=7648
qing shi suo po 	情势所迫	c=1 d=1 t=7649
qing song 	轻松	c=2 d=1 t=30522
qing song de 	轻松的	c=1 d=1 t=11340
qing wa 	青蛙	c=1 d=1 t=15779
qing wen 	请问	c=2 d=1 t=23725
qing wo 	请我	c=1 d=1 t=29815
qing xing 	庆幸	c=1 d=1 t=6049
qing xing 	清醒	c=1 d=1 t=20006
qing xu 	情绪	c=3 d=1.01197 t=15295
qing yi 	情意	c=4 d=1.67663 t=20558
qing yi 	轻易	c=1 d=1 t=17097
qiong 	穷	c=14 d=1 t=30918
qiong dao 	穷到	c=2 d=1.00048 t=31957
qiong de 	穷得	c=3 d=1 t=29079
qiong le 	穷了	c=1 d=1 t=28650
qiong ren 	穷人	c=1 d=1 t=22025
qiong xia qu 	穷下去	c=1 d=1 t=24396
qiong yang 	穷养	c=1 d=1 t=24371
qiu 	求	c=1 d=1 t=2154
qiu qiu 	求求	c=1 d=1 t=26568
qiu ren 	求人	c=1 d=1 t=1003
qiu shui 	秋水	c=0 d=0.1 t=28410
qiu shui yi bing 	秋水逸冰	c=1 d=1 t=28411
qiu zhu 	求助	c=1 d=1 t=25850
qu 	区	c=0 d=0.1 t=16003
qu 	去	c=117 d=0.680451 t=32367
qu 	娶	c=1 d=1 t=7476
qu bie 	区别	c=1 d=1 t=24736
qu cheng 	去程	c=1 d=1 t=28174
qu dai 	取代	c=1 d=1 t=23034
qu dao 	娶到	c=1 d=1 t=28659
qu dao 	渠道	c=1 d=1 t=26289
qu de 	去的	c=1 d=1 t=7253
qu de 	取得	c=1 d=1 t=20115
qu guo 	去过	c=1 d=1 t=5317
qu hao 	区号	c=1 d=1 t=12249
qu le 	去了	c=5 d=1.82696 t=23766
qu na li 	去哪里	c=4 d=1.1159 t=30939
qu nuan 	取暖	c=0 d=0.1 t=22199
qu shang ban 	去上班	c=1 d=1 t=24185
qu shi 	趋势	c=1 d=1 t=899
qu si 	去死	c=3 d=1 t=29352
qu zuo 	去做	c=2 d=1.92774 t=25613
quan 	全	c=3 d=1.00002 t=14897
quan 	劝	c=7 d=1.00486 t=30177
quan 	权	c=6 d=1.00004 t=18438
quan bu 	全部	c=3 d=1.00176 t=28062
quan chen 	权臣	c=2 d=1.01323 t=9568
quan gui 	权贵	c=5 d=1 t=32192
quan heng 	权衡	c=2 d=1.00001 t=16420
quan kao 	全靠	c=1 d=1 t=17972
quan li 	权利	c=9 d=1.84375 t=25102
quan mou 	权某	c=2 d=1 t=19365
quan mou 	权谋	c=1 d=1 t=8697
quan qiu 	全球	c=2 d=1 t=29070
quan shen 	全身	c=1 d=1 t=30594
quan shi 	权势	c=1 d=1 t=30477
quan shi jie 	全世界	c=4 d=1 t=23892
quan yi 	权益	c=1 d=1 t=23292
quan zhong 	权重	c=0 d=0.1 t=1192
quan zhou 	泉州	c=1 d=1 t=6474
quan zi 	圈子	c=12 d=1.68784 t=30377
que 	却	c=4 d=1 t=32232
que 	确	c=1 d=1 t=9294
que 	缺	c=5 d=1 t=18220
que bao 	确保	c=1 d=1 t=28084
que bu 	却不	c=1 d=1 t=21581
que de 	缺德	c=1 d=0.878801 t=2348
que de shi 	缺德事	c=1 d=1 t=2349
que dian 	缺点	c=1 d=1 t=6409
que ding 	确定	c=4 d=1 t=28975
que hai yao 	却还要	c=1 d=1 t=21891
que qian 	缺钱	c=2 d=1 t=12268
que qie 	确切	c=1 d=1 t=14069
que qie de 	确切的	c=1 d=1 t=10536
que shi 	确实	c=19 d=1.0005 t=27454
que wo 	缺我	c=1 d=1 t=874
que yao 	却要	c=2 d=1.41895 t=21816
qun 	群	c=2 d=1 t=30229
qun dai 	裙带	c=2 d=1 t=32023
